classroom_id,school_id_spline_linear,school_id_spline_0,school_id_spline_1,school_id_spline_2,lesson_set_id_spline_linear,lesson_set_id_spline_0,lesson_set_id_spline_1,lesson_set_id_spline_2,post_id_x_spline_linear,post_id_x_spline_0,post_id_x_spline_1,post_id_x_spline_2,exists_spline_linear,exists_spline_0,exists_spline_1,exists_spline_2,children_per_post_aka_post_blast_spline_linear,children_per_post_aka_post_blast_spline_0,children_per_post_aka_post_blast_spline_1,children_per_post_aka_post_blast_spline_2,lesson_id_spline_linear,lesson_id_spline_0,lesson_id_spline_1,lesson_id_spline_2,post_per_lesson_aka_popularity_spline_linear,post_per_lesson_aka_popularity_spline_0,post_per_lesson_aka_popularity_spline_1,post_per_lesson_aka_popularity_spline_2
30,-0.6971413494158399,-0.17555819051056043,-0.06902042801004797,-0.038840345593383736,-0.628750534701094,-0.09239292004294636,-0.045616100823334255,-0.03750215221125597,-0.7985213464918034,-0.2569837996631041,-0.10008973166486207,-0.0415859011259792,-0.7126773440251218,-0.1565234116240889,-0.054149188714179064,-0.03786589260465475,-0.7839988706709335,-0.22739692346782325,-0.09863028715429752,-0.049176711290241905,-0.5225511923507473,-0.15117901937094325,-0.09846592193930355,-0.07816082612852213,-0.23252597978542158,-0.0435059940066788,-0.03781256864811707,-0.03745029431365691
31,-0.35920713938959764,-0.17416537019053163,-0.06902042801004797,-0.038840345593383736,-0.38028828927396846,-0.0920699782452577,-0.045616100823334255,-0.03750215221125597,1.330301324893172,0.27737785116364566,-0.095008235836602,-0.0415859011259792,3.256552834470564,1.8342469398499257,0.3252383018480521,-0.03786589260465475,3.175328782267239,2.6806583416642584,1.158064294547632,-0.04665067125124647,-0.22341198874220883,-0.1500761082122655,-0.09846592193930355,-0.07816082612852213,1.0656638311288666,-0.03642347510441358,-0.03781256864811707,-0.03745029431365691
32,-0.32547831531406746,-0.1737090871320216,-0.06902042801004797,-0.038840345593383736,-0.3525252349469693,-0.09196402730618591,-0.045616100823334255,-0.03750215221125597,0.9899049758182836,0.061643715599615526,-0.10008973166486207,-0.0415859011259792,3.652717124541611,2.486440542954977,0.6699024782058517,-0.03786589260465475,2.796316220618456,1.923040881268946,0.5840117715397783,-0.049176711290241905,-0.18998631496693497,-0.14971430906633976,-0.09846592193930355,-0.07816082612852213,1.1963996288882894,-0.0341035157804545,-0.03781256864811707,-0.03745029431365691
34,-0.6513121366757301,-0.17555419566163505,-0.06902042801004797,-0.038840345593383736,11.613237241326235,25.375790804782408,26.555959353620576,26.70204077796753,0.7478935137331864,-0.0498529843519202,-0.10008973166486207,-0.0415859011259792,2.2897168652684474,0.7112946266292015,-0.02736444209336789,-0.03786589260465475,0.9541513121911276,0.01880969286981117,-0.09863028715429752,-0.049176711290241905,-0.5608695434091324,-0.15118063648184982,-0.09846592193930355,-0.07816082612852213,-0.2542133063055246,-0.0435060254267529,-0.03781256864811707,-0.03745029431365691
37,-0.699667550671839,-0.17555819109515547,-0.06902042801004797,-0.038840345593383736,-0.6605312833273199,-0.09239339225797666,-0.045616100823334255,-0.03750215221125597,-0.81981507757788,-0.2569843187081896,-0.10008973166486207,-0.0415859011259792,-0.7424845067527656,-0.15652423598403364,-0.054149188714179064,-0.03786589260465475,-0.784711300298093,-0.2273969234847561,-0.09863028715429752,-0.049176711290241905,-0.5608140190340904,-0.1511806364818449,-0.09846592193930355,-0.07816082612852213,-0.2533526981102824,-0.04350602542478951,-0.03781256864811707,-0.03745029431365691
38,-0.42805477498973515,-0.17485094855372738,-0.06902042801004797,-0.038840345593383736,-0.44152218240168256,-0.09223902376734246,-0.045616100823334255,-0.03750215221125597,1.4124231586282125,0.34097469470286923,-0.08983801617970345,-0.0415859011259792,1.6881541265832736,0.29048464862469103,-0.05410654301977789,-0.03786589260465475,0.7332981277717244,-0.06359186202558478,-0.09863028715429752,-0.049176711290241905,-0.5608695434091324,-0.15118063648184982,-0.09846592193930355,-0.07816082612852213,-0.2542133063055246,-0.0435060254267529,-0.03781256864811707,-0.03745029431365691
41,-0.6832270559681285,-0.17555803363206013,-0.06902042801004797,-0.038840345593383736,1.119057711300639,-0.00958763274590352,-0.045616100823334255,-0.03750215221125597,-0.33964736621251107,-0.2510327884457934,-0.10008973166486207,-0.0415859011259792,0.2904691688633974,-0.12221607005183152,-0.054149188714179064,-0.03786589260465475,0.08142501892090527,-0.1969696764561565,-0.09863028715429752,-0.049176711290241905,1.5817442343874142,0.13153579481894181,-0.09833565320898345,-0.07816082612852213,0.1945468030025956,-0.04322764936547652,-0.03781256864811707,-0.03745029431365691
42,-0.25593856978077956,-0.17247480254336356,-0.06902042801004797,-0.038840345593383736,-0.2810531390607937,-0.09159042404285472,-0.045616100823334255,-0.03750215221125597,1.2140385792909703,0.1952972500060837,-0.09883811246104961,-0.0415859011259792,3.047902695377058,1.5386162515646906,0.19860736844085766,-0.03786589260465475,2.0384692047276816,0.8263100387577438,0.014279003073000434,-0.049176711290241905,-0.5608695434091324,-0.15118063648184982,-0.09846592193930355,-0.07816082612852213,-0.2542133063055246,-0.0435060254267529,-0.03781256864811707,-0.03745029431365691
43,-0.5319174056245073,-0.17539155272144713,-0.06902042801004797,-0.038840345593383736,3.9568072810905885,1.3539468446806064,0.09695009502628876,-0.03750215221125597,0.7704284593723673,-0.04079177797340545,-0.10008973166486207,-0.0415859011259792,0.6904270978270534,-0.06494159453098987,-0.054149188714179064,-0.03786589260465475,0.40825211038026404,-0.14789360047303865,-0.09863028715429752,-0.049176711290241905,4.998288043239118,4.786765247864845,3.3947377142143025,1.1143482103804698,-0.18307866016753802,-0.04350491667919404,-0.03781256864811707,-0.03745029431365691
44,-0.2126845827502668,-0.1714824163616408,-0.06902042801004797,-0.038840345593383736,-0.24225159850587194,-0.09131808136213229,-0.045616100823334255,-0.03750215221125597,1.8587868553151043,0.7761917105433883,-0.0004903450497188482,-0.0415859011259792,3.2365007431810584,1.8044502966615987,0.31155691773135086,-0.03786589260465475,2.0751593305263887,0.8679282620597991,0.028298079854892168,-0.049176711290241905,-0.057221001962136524,-0.14750864122018217,-0.09846592193930355,-0.07816082612852213,-0.22459090328522768,-0.04350594536040684,-0.03781256864811707,-0.03745029431365691
